# 
# ****** Theory ******
# Vector Potential-based
# Using 3 NNs
# ****** Obs Data Info ******
# PJ data: orbit 1-50
# cutRj: 4.0
# ****** Neural Network Info ******
# NN Size and Shape: 6*[40];
# NN Activation function: swish;
# NN Optimizer: Adam;
# Dynamic Weights: 1;
# RAD parameter: k=1, c=0, n0=3000, dn=600;
# Epochs: 12000;
# Batch size: 10000;
# Seed: 67890;
# Epoch      Loss     TLoss   LObs_bx   LObs_by   LObs_bz LCol_curlBx LCol_curlBy LCol_curlBz      wObs        LR
0000156 2.252e+01 8.313e+00 4.052e-02 4.606e-02 6.955e-02 3.469e+00 2.923e+00 1.765e+00 9.200e+01 1.932e-03
0000157 2.055e+01 7.300e+00 4.244e-02 4.133e-02 6.652e-02 3.189e+00 2.711e+00 1.250e+00 8.917e+01 1.931e-03
0000158 2.234e+01 9.140e+00 4.209e-02 4.760e-02 6.810e-02 3.279e+00 3.524e+00 2.179e+00 8.467e+01 1.931e-03
0000159 2.124e+01 8.210e+00 4.248e-02 4.387e-02 6.722e-02 3.433e+00 2.936e+00 1.687e+00 8.582e+01 1.930e-03
0000160 2.129e+01 8.043e+00 4.231e-02 4.208e-02 6.780e-02 3.201e+00 2.775e+00 1.915e+00 8.808e+01 1.930e-03
0000161 2.399e+01 1.112e+01 4.140e-02 4.266e-02 6.759e-02 4.204e+00 3.796e+00 2.964e+00 8.591e+01 1.929e-03
0000162 2.057e+01 8.095e+00 3.829e-02 4.150e-02 6.572e-02 3.349e+00 2.876e+00 1.725e+00 8.672e+01 1.929e-03
0000163 2.144e+01 9.169e+00 3.949e-02 4.113e-02 6.190e-02 3.750e+00 2.924e+00 2.353e+00 8.712e+01 1.929e-03
0000164 2.493e+01 1.047e+01 3.994e-02 4.824e-02 7.065e-02 3.982e+00 3.690e+00 2.641e+00 9.200e+01 1.928e-03
0000165 2.374e+01 1.080e+01 4.031e-02 3.940e-02 6.552e-02 3.906e+00 3.383e+00 3.365e+00 9.008e+01 1.928e-03
0000166 2.120e+01 8.114e+00 3.807e-02 4.336e-02 6.586e-02 3.274e+00 2.977e+00 1.716e+00 8.985e+01 1.927e-03
0000167 2.068e+01 8.634e+00 4.000e-02 3.892e-02 6.222e-02 3.420e+00 3.127e+00 1.946e+00 8.631e+01 1.927e-03
